Num_G_nodes, Avg_time, Max_cost, Avg_cost, Percent_MIS,Density
15,0.006755971908569336,10.0,9.6,1.0,0.1
16,0.006982421875,10.0,9.4,1.0,0.1
17,0.0069258689880371095,10.0,9.0,1.0,0.1
18,0.007300806045532226,11.0,10.6,1.0,0.1
19,0.0073662281036376955,11.0,10.2,1.0,0.1
20,0.007507705688476562,12.0,11.0,1.0,0.1
21,0.007580757141113281,13.0,11.4,1.0,0.1
22,0.007927227020263671,12.0,11.4,1.0,0.1
23,0.007981681823730468,11.0,10.4,1.0,0.1
24,0.007892036437988281,14.0,12.0,1.0,0.1
25,0.008282279968261719,14.0,13.2,1.0,0.1
26,0.008417797088623048,14.0,12.4,1.0,0.1
27,0.008569812774658203,14.0,13.0,1.0,0.1
28,0.008481025695800781,14.0,13.2,1.0,0.1
29,0.009062814712524413,16.0,15.0,1.0,0.1
30,0.009069252014160156,15.0,14.6,1.0,0.1
31,0.009182071685791016,16.0,13.8,1.0,0.1
32,0.009583425521850587,17.0,14.6,1.0,0.1
33,0.01006474494934082,16.0,14.2,1.0,0.1
34,0.00974578857421875,16.0,14.2,1.0,0.1
35,0.010387277603149414,15.0,14.8,1.0,0.1
36,0.010094022750854493,16.0,14.2,1.0,0.1
37,0.010245800018310547,16.0,15.2,1.0,0.1
38,0.011490154266357421,17.0,16.0,1.0,0.1
39,0.010699272155761719,18.0,15.6,1.0,0.1
40,0.011307525634765624,18.0,16.2,1.0,0.1
41,0.012076425552368163,18.0,16.6,1.0,0.1
42,0.013692998886108398,21.0,18.4,1.0,0.1
43,0.011965322494506835,17.0,15.6,1.0,0.1
44,0.012036514282226563,19.0,17.2,1.0,0.1
45,0.012004709243774414,17.0,15.8,1.0,0.1
46,0.012721538543701172,19.0,17.8,1.0,0.1
47,0.012917041778564453,22.0,18.2,1.0,0.1
48,0.01346902847290039,20.0,18.2,1.0,0.1
49,0.012972116470336914,19.0,17.2,1.0,0.1
50,0.013733386993408203,19.0,16.6,1.0,0.1
15,0.0067557811737060545,3.0,2.6,1.0,0.7
16,0.007736587524414062,3.0,2.6,1.0,0.7
17,0.007504510879516602,3.0,2.4,1.0,0.7
18,0.007460117340087891,3.0,2.6,1.0,0.7
19,0.007450628280639649,4.0,2.6,1.0,0.7
20,0.008027601242065429,3.0,2.6,1.0,0.7
21,0.009208297729492188,4.0,3.2,1.0,0.7
22,0.008140802383422852,3.0,2.8,1.0,0.7
23,0.008964920043945312,4.0,3.4,1.0,0.7
24,0.00917677879333496,4.0,3.4,1.0,0.7
25,0.008837509155273437,3.0,2.8,1.0,0.7
26,0.009963703155517579,5.0,3.6,1.0,0.7
27,0.009613609313964844,4.0,3.2,1.0,0.7
28,0.009997892379760741,4.0,3.2,1.0,0.7
29,0.01061854362487793,4.0,3.4,1.0,0.7
30,0.01122598648071289,4.0,3.4,1.0,0.7
31,0.010692024230957031,4.0,3.2,1.0,0.7
32,0.011591577529907226,4.0,3.6,1.0,0.7
33,0.011458301544189453,4.0,3.2,1.0,0.7
34,0.011977481842041015,4.0,3.2,1.0,0.7
35,0.012081766128540039,4.0,3.6,1.0,0.7
36,0.012879085540771485,4.0,3.8,1.0,0.7
37,0.012190008163452148,4.0,3.4,1.0,0.7
38,0.013417816162109375,4.0,3.8,1.0,0.7
39,0.014223670959472657,5.0,4.0,1.0,0.7
40,0.014676332473754883,4.0,4.0,1.0,0.7
41,0.014141416549682618,5.0,3.6,1.0,0.7
42,0.014893531799316406,4.0,3.6,1.0,0.7
43,0.014034461975097657,4.0,3.2,1.0,0.7
44,0.013915634155273438,4.0,3.2,1.0,0.7
45,0.015190029144287109,4.0,3.2,1.0,0.7
46,0.015305089950561523,3.0,3.0,1.0,0.7
47,0.016905927658081056,5.0,3.6,1.0,0.7
48,0.015971040725708006,4.0,3.4,1.0,0.7
49,0.01580982208251953,4.0,3.6,1.0,0.7
50,0.01620025634765625,4.0,3.2,1.0,0.7
