Num_G_nodes, Avg_time, Max_cost, Avg_cost, Percent_MIS,Density
15,16.29305691719055,10.0,10.0,1.0,0.1
16,17.257889175415038,10.0,10.0,1.0,0.1
17,18.017291736602782,10.0,10.0,1.0,0.1
18,19.131640720367432,12.0,12.0,1.0,0.1
19,19.94310598373413,12.0,12.0,1.0,0.1
20,20.881621170043946,12.0,12.0,1.0,0.1
21,21.820391273498537,13.0,12.6,1.0,0.1
22,23.065584564208983,13.0,13.0,1.0,0.1
23,23.5030797958374,12.0,12.0,1.0,0.1
24,24.474558687210084,13.0,13.0,1.0,0.1
25,25.280091762542725,12.0,12.0,1.0,0.1
26,26.298948431015013,14.0,13.6,1.0,0.1
27,27.274998474121094,13.0,13.0,1.0,0.1
28,28.15181975364685,14.0,13.0,1.0,0.1
29,28.895849418640136,14.0,13.8,1.0,0.1
30,29.77064003944397,14.0,13.8,1.0,0.1
15,20.283332681655885,4.0,4.0,1.0,0.7
16,21.743609857559203,4.0,4.0,1.0,0.7
17,23.319563007354738,4.0,4.0,1.0,0.7
18,24.746118783950806,4.0,4.0,1.0,0.7
19,26.25594081878662,4.0,4.0,1.0,0.7
20,27.87849063873291,4.0,4.0,1.0,0.7
21,29.358785724639894,4.0,4.0,1.0,0.7
22,31.042907238006592,3.0,3.0,1.0,0.7
23,32.85038509368896,4.0,4.0,1.0,0.7
24,34.3732928276062,4.0,4.0,1.0,0.7
25,36.33473358154297,4.0,4.0,1.0,0.7
26,38.07750883102417,4.0,4.0,1.0,0.7
27,40.42946195602417,4.0,4.0,1.0,0.7
28,42.09563364982605,5.0,4.6,1.0,0.7
29,44.13170280456543,4.0,4.0,1.0,0.7
30,46.15983271598816,5.0,4.2,1.0,0.7
