Num_G_nodes, Avg_time, Max_cost, Avg_cost, Netx_avg_cost, Percent_MIS, Density
15,0.07344579696655273,10.0,10.0,9.4,1.0,0.1
16,0.07755599021911622,9.0,9.0,8.2,1.0,0.1
17,0.07831287384033203,10.0,10.0,10.0,1.0,0.1
18,0.08289437294006348,11.0,11.0,11.0,1.0,0.1
19,0.08478250503540039,12.0,12.0,11.2,1.0,0.1
20,0.08187651634216309,12.0,12.0,10.4,1.0,0.1
21,0.08232016563415527,12.0,12.0,10.6,1.0,0.1
22,0.08401727676391602,13.0,13.0,11.4,1.0,0.1
23,0.08783540725708008,15.0,15.0,12.4,1.0,0.1
24,0.08656983375549317,13.0,12.8,11.4,1.0,0.1
25,0.08563003540039063,14.0,14.0,12.8,1.0,0.1
26,0.08720440864562988,15.0,15.0,13.0,1.0,0.1
27,0.09402198791503906,15.0,15.0,12.8,1.0,0.1
28,0.08827996253967285,15.0,15.0,12.8,1.0,0.1
29,0.08929152488708496,15.0,15.0,12.2,1.0,0.1
30,0.09523406028747558,16.0,16.0,12.8,1.0,0.1
31,0.10045480728149414,17.0,17.0,14.6,1.0,0.1
32,0.0989457607269287,16.0,16.0,14.2,1.0,0.1
33,0.10646204948425293,17.0,17.0,15.6,1.0,0.1
34,0.1030383586883545,18.0,18.0,15.6,1.0,0.1
35,0.10257177352905274,18.0,18.0,14.6,1.0,0.1
36,0.10092582702636718,17.0,17.0,14.6,1.0,0.1
37,0.11046700477600098,17.0,17.0,13.6,1.0,0.1
38,0.11018023490905762,19.0,19.0,16.2,1.0,0.1
39,0.1074294090270996,17.0,16.8,15.0,1.0,0.1
40,0.11116280555725097,19.0,18.8,17.2,1.0,0.1
41,0.10908703804016114,17.0,16.4,14.6,1.0,0.1
42,0.11162261962890625,20.0,20.0,16.6,1.0,0.1
43,0.11612682342529297,19.0,19.0,17.0,1.0,0.1
44,0.11781144142150879,20.0,19.2,17.0,1.0,0.1
45,0.11987628936767578,20.0,19.2,17.0,1.0,0.1
46,0.11800103187561035,20.0,19.6,15.2,1.0,0.1
47,0.12465438842773438,21.0,21.0,18.2,1.0,0.1
48,0.1252568244934082,22.0,21.8,17.4,1.0,0.1
49,0.12549324035644532,20.0,19.6,17.8,1.0,0.1
50,0.12276506423950195,21.0,20.4,18.0,1.0,0.1
51,0.1280351161956787,21.0,19.8,17.0,1.0,0.1
52,0.1318601608276367,21.0,20.4,18.2,1.0,0.1
53,0.13326902389526368,23.0,22.4,19.4,1.0,0.1
54,0.13704485893249513,23.0,22.4,18.4,1.0,0.1
55,0.13231701850891114,23.0,22.8,18.8,1.0,0.1
56,0.14069228172302245,24.0,24.0,18.4,1.0,0.1
57,0.13398118019104005,22.0,21.0,19.0,1.0,0.1
58,0.1326345443725586,22.0,21.6,19.0,1.0,0.1
59,0.1429366111755371,24.0,23.6,22.0,1.0,0.1
60,0.14837307929992677,25.0,25.0,20.4,1.0,0.1
61,0.1397242069244385,21.0,20.8,18.2,1.0,0.1
62,0.14516162872314453,24.0,23.6,18.4,1.0,0.1
